;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Total;
Mañanas;5;6;0;7;2;0;4;;;;;;24;
Tardes;3;1;7;4;5;0;0;;;;;;20;
Noches;5;4;5;4;5;0;4;;;;;;27/53;
Vacaciones;0;0;0;0;5;21;0;;;;;;26/26;
AP's;0;3;5;1;0;0;0;;;;;;0/14;
Ferias;0;1;0;1;1;0;1;;;;;;4/6;
Días de Trabajo Sindical;0;0;0;0;0;0;0;;;;;;0;
Días de Baja;0;0;0;0;0;0;0;;;;;;0;
Días de Juicio;0;0;0;0;0;0;0;;;;;;0;
Permisos;2;0;0;0;0;0;13;;;;;;15;
Cursos;0;0;2;0;0;0;0;;;;;;2;
Descansos Compensados;1;0;0;0;2;0;1;;;;;;4;
Indisposiciones;0;0;0;0;0;0;0;;;;;;0/5;
Jefaturas de Servicio;1;4;2;2;0;0;0;;;;;;9;
Festivos trabajados;1;0;0;4;1;0;1;;;;;;7/20;
Fines de semana trabajados;2;2;2.5;2;2.5;0;2;;;;;;13/23;
Horas Trabajadas;138.38;126;167.88;144.5;115.38;0;148;;;;;;840.64;H. de baja
1ex (N);0;0;0;0;0;0;;;;;;;0;0
2ex (N);0;0;0;0;0;0;;;;;;;0;0
3ex (N);0;0;0;0;0;0;;;;;;;0;0
1ex (F);0;0;0;0;0;0;;;;;;;0;0
2ex (F);0;0;0;0;0;0;;;;;;;0;0
3ex (F);0;0;0;0;0;0;;;;;;;0;0
