,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total,
Mañanas,3,5,6,3,7,7,5,8,3,1,,,48,
Tardes,4,4,4,3,3,4,7,4,0,4,,,37,
Noches,4,3,3,5,5,5,5,5,0,4,,,39/54,
Vacaciones,0,0,0,0,0,0,0,0,11,5,,,16/22,
AP's,4,2,4,0,0,0,0,0,0,0,,,0/8,
Ferias,0,0,1,0,0,1,0,1,0,1,,,4/6,
Días de Trabajo Sindical,0,0,0,0,0,0,0,0,0,0,,,0,
Días de Baja,0,0,0,0,0,0,0,0,0,0,,,0,
Días de Juicio,0,0,0,0,0,0,0,0,0,0,,,0,
Permisos,1,0,0,0,0,0,0,0,3,0,,,4,
Cursos,0,0,2,5,1,4,0,0,0,0,,,12,
Descansos Compensados,0,0,0,0,2,0,0,0,2,6,,,10,
Indisposiciones,0,0,0,0,0,0,0,0,0,0,,,0/5,
Jefaturas de Servicio,6,11,11,11,7,8,10,19,7,6,,,96,
Festivos trabajados,0,1,1,0,1,1,0,2,0,0,,,6/20,
Fines de semana trabajados,2.5,2,2,2,2.5,2,2,2.5,1,2,,,20.5/24,H. de baja
Horas Trabajadas,142.5,124.13,163.63,157.38,143.38,167.38,155.38,155.38,25.5,117.5,,,1362.63,
1ex (N),0,1,0,0,0,0,0,0,,,,,1,7.5
2ex (N),0,0,0,0,0,0,0,0,,,,,0,0
3ex (N),1,0,0,0,0,0,0,1,,,,,2,18
1ex (F),1,0,3,1,0,0,4,0,,,,,9,67.5
2ex (F),0,0,1,1,2,0,1,2,,,,,7,52.5
3ex (F),0,1,0,0,0,0,0,0,,,,,1,9
